V Grade,days outdoors,age,sex,height,weight,span,years climbing,years training,# pullups,# pushups,ape index,Weighted hang ratio,Weighted pull ratio
3.0,3.0,43,1.0,65.0,151.0,65.0,11.0,1.0,2.0,6.0,0.0,1.2450331125827814,1.0662251655629138
6.0,5.0,16,1.0,64.0,125.0,64.0,7.0,7.0,15.0,30.0,0.0,1.08,1.16
9.0,3.0,19,0.0,70.0,155.0,74.0,11.0,7.0,18.0,70.0,4.0,1.2258064516129032,1.5483870967741935
8.0,7.0,34,0.0,68.0,165.0,72.0,11.0,5.0,15.0,35.0,4.0,1.303030303030303,1.4242424242424243
8.0,5.0,30,1.0,68.0,142.0,70.0,7.0,3.0,5.0,7.0,2.0,1.2464788732394365,1.176056338028169
3.0,16.0,38,0.0,70.0,185.0,,11.0,5.0,8.0,12.0,,1.1621621621621623,1.2972972972972974
7.0,9.0,31,1.0,73.5,143.0,76.0,9.0,3.0,8.0,7.0,2.5,1.1748251748251748,1.1748251748251748
8.0,5.0,37,1.0,69.0,140.0,70.0,9.0,5.0,12.0,22.0,1.0,,
12.0,16.0,31,0.0,71.5,165.0,74.5,9.0,1.0,18.0,22.0,3.0,1.5454545454545454,1.6363636363636362
8.0,16.0,30,1.0,65.0,115.0,64.75,11.0,1.0,13.0,16.0,-0.25,1.2,1.4
4.0,3.0,36,1.0,67.0,136.0,64.0,9.0,1.0,0.0,0.0,-3.0,1.036764705882353,1.0
8.0,3.0,33,0.0,68.0,150.0,68.0,5.0,1.0,14.0,26.0,0.0,1.8266666666666667,1.6733333333333333
8.0,16.0,36,1.0,65.0,128.0,68.0,11.0,3.0,14.0,35.0,3.0,1.265625,1.546875
5.0,3.0,36,0.0,73.0,169.0,73.0,7.0,5.0,16.0,27.0,0.0,1.4319526627218935,1.5502958579881656
3.0,3.0,43,0.0,70.0,288.0,,1.0,1.0,0.0,10.0,,1.0,1.0
6.0,5.0,34,0.0,73.0,158.0,73.0,5.0,1.0,19.0,29.0,0.0,1.5063291139240507,1.5063291139240507
10.0,5.0,37,0.0,69.0,148.0,72.0,11.0,1.0,13.0,17.0,3.0,1.4054054054054055,1.4256756756756757
7.0,9.0,29,0.0,70.0,165.0,73.0,7.0,1.0,13.0,30.0,3.0,1.2727272727272727,1.4242424242424243
8.0,3.0,45,0.0,70.5,156.0,70.5,11.0,3.0,14.0,36.0,0.0,1.3012820512820513,1.4615384615384617
6.0,9.0,30,0.0,72.0,180.0,73.0,7.0,3.0,9.0,19.0,1.0,1.3333333333333333,1.35
8.0,3.0,29,0.0,66.0,136.0,67.0,5.0,1.0,15.0,19.0,1.0,1.4044117647058822,1.5882352941176472
4.0,0.0,39,1.0,63.0,128.0,65.0,1.0,1.0,3.0,10.0,2.0,,
8.0,9.0,30,0.0,71.0,195.0,75.0,9.0,1.0,6.0,21.0,4.0,,1.358974358974359
5.0,3.0,44,0.0,70.0,165.0,65.0,5.0,1.0,12.0,21.0,-5.0,1.2424242424242424,1.3333333333333333
13.0,5.0,32,0.0,70.0,155.0,73.0,11.0,11.0,16.0,35.0,3.0,1.6451612903225805,1.8064516129032258
3.0,3.0,39,1.0,63.0,125.0,62.0,7.0,3.0,8.0,15.0,-1.0,1.24,1.28
10.0,3.0,27,0.0,67.0,135.0,70.0,9.0,5.0,15.0,20.0,3.0,1.5555555555555556,1.5185185185185186
7.0,3.0,40,0.0,71.5,155.0,75.6,11.0,5.0,12.0,25.0,4.099999999999994,1.3483870967741935,1.3483870967741935
10.0,5.0,31,1.0,62.0,110.0,61.0,7.0,3.0,14.0,26.0,-1.0,1.5909090909090908,1.6363636363636362
7.0,3.0,38,0.0,69.0,160.0,72.0,11.0,11.0,11.0,33.0,3.0,1.25,1.21875
